"sde_weight","sdl_weight","awy_weight","cost_weight","sde_score","sdl_score","awy_score","cost_score","esm_case","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","index"
0.25,0,0.75,0,122.757317313729,591.121696729481,3365633.5625217,1248832000,5,0,0,790,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1248832000,0,0,0,62
0.5,0,0.5,0,28507.8821855738,118438.216210023,3343090.33448999,1248608000,5,0,40,785,0,0,0,0,0.0484848484848485,0.951515151515152,0,0,0,0,0.00615084958609908,0.993849150413901,0,0,0,0,7680000,1240928000,0,0,0,63
0.75,0,0.25,0,249192.288278256,1214126.9541732,2894960.37505542,1248640000,5,0,740,698,0,2,0,0,0.513888888888889,0.484722222222222,0,0.00138888888888889,0,0,0.113787801127627,0.883680164018452,0,0.00253203485392107,0,0,142080000,1103398400,0,3161600,0,64
1,0,0,0,1047387.51974783,6227644.21934819,-5469785.75214417,1249894400,5,0,6444,0,0,8,0,0,0.998760074395536,0,0,0.00123992560446373,0,0,0.989882025233492,0,0,0.0101179747665083,0,0,1237248000,0,0,12646400,0,65
0,0.25,0.75,0,87805.1243919184,439017.825845752,3253916.73832571,1248761600,5,0,189,767,0,0,0,0,0.197698744769874,0.802301255230126,0,0,0,0,0.0290591895202415,0.970940810479759,0,0,0,0,36288000,1212473600,0,0,0,66
0.25,0.25,0.5,0,278699.077925546,1484794.34803082,2772572.55887196,1248582400,5,0,962,673,0,0,0,0,0.588379204892966,0.411620795107034,0,0,0,0,0.14793096554941,0.85206903445059,0,0,0,0,184704000,1063878400,0,0,0,67
0.5,0.25,0.25,0,721584.473132533,4196755.80906951,295182.021351059,1249018608,5,0,4321,259,0,2,1,0,0.942832205978617,0.0565132009600698,0,0.000436395374209033,0.000218197687104517,0,0.664227093724772,0.327799119546824,0,0.00253126733240791,0.00544251939599606,0,829632000,409427200,0,3161600,6797808,68
0.75,0.25,0,0,1034332.31043059,6386180.98331186,-6049480.60127289,1249952000,5,0,6469,0,0,5,0,0,0.999227679950571,0,0,0.000772320049428483,0,0,0.993676557179796,0,0,0.0063234428202043,0,0,1242048000,0,0,7904000,0,69
0,0.5,0.5,0,564768.703353679,3268298.70041232,1367121.18515892,1249568000,5,0,3009,425,0,0,0,0,0.876237623762376,0.123762376237624,0,0,0,0,0.462342185459295,0.537657814540705,0,0,0,0,577728000,671840000,0,0,0,70
0.25,0.5,0.25,0,934807.082185983,5652937.47496423,-2068401.46044325,1249959408,5,0,6376,4,0,8,1,0,0.997965252778213,0.000626076068242291,0,0.00125215213648458,0.000156519017060573,0,0.979385404169861,0.00505872427498862,0,0.0101174485499772,0.0054384230051733,0,1224192000,6323200,0,12646400,6797808,71
