index,awy_weight,sde_weight,sdl_weight,awy_score,sde_score,sdl_score,esm_case,input_budget,input_2,input_1,input_spat,AWY_1_rast_delta_abs,SDE_2_rast_delta_abs,SDL_3_rast_delta_abs
506,0.75,0.0,0.25,2.76048035021,3.11236,10.951723355,12,1875000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_4_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_4_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_4_6_12_4_1.875e+09.tif
507,1.0,0.0,0.0,-4.01785810232,4.503309,16.1355515928,12,1875000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_5_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_5_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_5_6_12_4_1.875e+09.tif
508,0.0,0.25,0.75,7.09760499477,1.047919,3.59006952919,12,1875000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_6_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_6_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_6_6_12_4_1.875e+09.tif
509,0.5,0.0,0.5,7.31899119327,0.851761,2.83544261137,12,1875000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_3_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_3_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_3_6_12_4_1.875e+09.tif
510,0.5,0.25,0.25,-2.0609546148,4.353106,15.6567201339,12,1875000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_8_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_8_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_8_6_12_4_1.875e+09.tif
511,0.75,0.25,0.0,-4.08893627156,4.495504,16.2100341135,12,1875000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_9_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_9_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_9_6_12_4_1.875e+09.tif
512,0.5,0.5,0.0,-2.13744210055,2.41785,8.54917156669,12,625000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_12_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_12_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_12_6_12_4_6.25e+08.tif
513,0.25,0.25,0.5,4.84327259079,2.311565,8.13248999568,12,1875000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_7_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_7_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_7_6_12_4_1.875e+09.tif
514,0.0,0.0,1.0,2.96095131997,-1e-06,-0.00030908232748,12,625000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_1_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_12_4_6.25e+08.tif
515,0.25,0.0,0.75,2.95284036301,0.032504,0.0976507116022,12,625000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_2_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_12_4_6.25e+08.tif
